ticker
AAPL
MSFT
GOOGL
GOOG
AMZN
NVDA
META
BRK.B
LLY
AVGO
JPM
V
UNH
XOM
MA
COST
HD
PG
JNJ
WMT
NFLX
BAC
ABBV
KO
PEP
CRM
ORCL
CSCO
ADBE
AMD
MCD
DIS
MRK
TMO
ABT
ACN
LIN
QCOM
TXN
INTU
IBM
CAT
GE
GS
HON
AMAT
NOW
ISRG
UBER
SPGI
